city,date,fare,ride_id
Grahamburgh,2019-04-06 13:48:54,23.87,1.46825E+12
South Michelleport,2019-03-02 09:54:50,33.12,8.13844E+11
Loganberg,2019-01-07 19:02:38,16.26,9.04538E+12
West Christopherberg,2019-03-18 17:14:06,12.64,1.06109E+12
Rogerston,2019-02-23 19:13:13,14.04,7.64714E+12
Huntermouth,2019-02-24 07:57:03,39.12,9.28039E+11
New Jacobville,2019-02-09 02:17:35,7.11,3.85505E+12
Lake Jonathanshire,2019-04-07 20:51:11,31.25,4.44125E+12
Port David,2019-03-17 14:42:43,33.11,1.02568E+12
Martinezhaven,2019-02-20 19:32:45,13.34,2.76069E+12
Port Frank,2019-04-19 19:35:08,26.47,6.72271E+12
Valentineton,2019-03-02 14:44:47,39.77,6.77039E+12
Hurleymouth,2019-03-03 11:28:17,36.31,1.67035E+11
Carriemouth,2019-02-25 08:26:25,32.37,6.91843E+12
Port Samanthamouth,2019-04-16 18:34:44,9.2,8.71225E+12
Williamsstad,2019-01-23 17:51:24,19.62,1.25986E+11
Royland,2019-01-07 02:23:48,24.5,3.62085E+12
New Jacobville,2019-01-05 05:02:35,34.11,2.82852E+12
Roberthaven,2019-03-06 22:56:31,12.38,3.37296E+12
South Evanton,2019-01-07 18:47:02,43.61,9.1225E+12
New Paulton,2019-05-03 12:09:12,21.67,9.08656E+12
Karenberg,2019-03-11 17:26:12,36.15,7.79676E+12
Rodneyfort,2019-01-30 12:34:42,16.99,5.77873E+12
East Kaylahaven,2019-04-04 02:35:55,23.18,57422927996
Huntermouth,2019-02-19 03:19:21,7.05,1.61652E+12
Barajasview,2019-01-23 13:23:53,37.68,4.10845E+12
Williamsstad,2019-03-29 21:43:04,35.58,4.74778E+12
North Jason,2019-03-08 20:06:21,25.21,3.18008E+12
Christopherfurt,2019-04-17 02:25:49,23.3,7.81906E+12
Liumouth,2019-01-11 17:15:17,36.78,1.46452E+12
Johnton,2019-01-17 02:12:01,32.19,8.5263E+12
West Angela,2019-03-08 01:08:42,41.06,6.20487E+12
Jerryton,2019-01-04 16:38:59,37.2,5.63787E+12
Erikaland,2019-02-18 07:47:15,20.62,3.29415E+12
North Jason,2019-02-07 07:27:09,20,4.7365E+11
Lake Scottton,2019-05-05 11:21:47,18.77,4.05382E+11
Simpsonburgh,2019-03-22 08:56:23,22.05,3.49518E+12
Raymondhaven,2019-03-12 06:59:59,16.98,6.4477E+12
West Robert,2019-04-05 03:18:56,44.58,4.24601E+12
North Jason,2019-03-18 10:10:37,6.41,2.86583E+12
Port Samanthamouth,2019-01-23 09:08:20,35.51,3.11686E+12
West Robert,2019-01-21 17:21:50,27.11,1.36991E+12
Jerryton,2019-01-05 15:36:46,37.91,1.58708E+12
Port Samanthamouth,2019-02-03 07:07:01,18.03,9.29219E+12
Liumouth,2019-01-15 07:55:34,14.55,4.37935E+12
West Heidi,2019-04-03 03:16:18,24.76,1.82023E+12
Loganberg,2019-01-21 16:26:37,22.86,1.9543E+12
Grahamburgh,2019-02-17 09:54:44,30.25,4.04793E+12
Raymondhaven,2019-05-06 23:22:49,25.76,8.72102E+12
Karenside,2019-01-25 15:35:18,14.52,2.65236E+12
Port Frank,2019-04-06 21:38:50,18.08,5.47489E+12
Leahton,2019-04-02 17:39:37,22.76,5.80873E+12
Port Samanthamouth,2019-04-22 03:32:37,29.67,3.15406E+12
Jerryton,2019-04-13 21:47:30,32.08,8.49918E+12
West Patrickchester,2019-03-07 15:47:07,23.66,3.06609E+12
West Samuelburgh,2019-03-03 16:07:24,27.48,1.00531E+11
North Markport,2019-03-31 13:58:15,29.41,3.09347E+12
West Angela,2019-03-10 11:23:00,27.1,1.36532E+12
Grahamburgh,2019-03-12 02:44:01,22.97,4.89801E+12
South Michelleport,2019-01-08 09:38:14,23.77,4.91616E+12
East Kaylahaven,2019-04-02 07:05:54,9.67,2.08846E+12
South Karenland,2019-04-22 21:37:41,22.86,6.72815E+12
Lake Danielberg,2019-02-24 12:05:12,9.63,9.14933E+12
Justinberg,2019-04-26 08:41:02,8.83,1.82309E+12
Karenberg,2019-04-29 20:54:19,28.41,9.05285E+12
South Phillip,2019-02-09 16:46:59,7.89,3.20319E+12
North Madeline,2019-04-05 18:23:53,29.69,2.40703E+11
New Kimberlyborough,2019-05-01 13:56:38,22.59,9.25093E+12
South Jack,2019-04-24 19:33:56,38.04,2.19799E+12
Erikaland,2019-03-11 02:19:28,27.39,1.32014E+11
New Paulville,2019-03-27 02:18:33,7.29,7.04676E+12
Hurleymouth,2019-03-26 20:22:28,41.15,4.70726E+12
Liumouth,2019-04-12 03:38:12,43.34,7.85723E+12
Deanville,2019-05-01 21:53:42,8.28,5.92955E+11
Karenside,2019-04-02 19:22:47,41.93,4.09361E+12
West Angela,2019-01-30 18:08:35,19.13,2.07814E+12
Liumouth,2019-02-01 20:17:16,24.81,5.47007E+12
Jerryton,2019-03-27 12:48:21,13.29,8.95984E+12
South Phillip,2019-05-04 09:10:40,28.3,8.69657E+12
Port Johnbury,2019-04-27 16:22:23,25.67,2.74633E+12
Raymondhaven,2019-02-08 23:57:16,5.7,3.93003E+12
Port David,2019-03-07 18:37:30,42.04,9.90596E+12
Robertport,2019-03-06 09:51:08,6.73,9.67976E+12
Loganberg,2019-03-16 11:46:25,23.99,9.4929E+12
Karenside,2019-04-19 10:17:18,36.01,1.32274E+12
Lake Jonathanshire,2019-03-09 23:45:55,19.89,2.3895E+12
Pattyland,2019-01-30 12:35:37,8.57,4.68889E+12
West Robert,2019-04-13 06:56:12,32.94,9.60361E+12
Justinberg,2019-04-12 05:27:42,17.03,8.37476E+12
West Josephberg,2019-02-09 14:07:54,4.42,8.30379E+12
North Markport,2019-01-21 11:49:50,27.68,4.55676E+12
Williamsview,2019-01-09 15:24:41,44.46,2.19553E+12
Raymondhaven,2019-02-01 05:51:10,13.86,8.72105E+12
South Latoya,2019-02-12 16:32:49,30.22,7.38842E+12
Deanville,2019-03-29 04:07:48,5.32,2.61267E+12
Amandaburgh,2019-03-05 02:15:38,26.28,9.06851E+11
Jerryton,2019-01-27 14:46:26,29.08,6.16053E+12
Deanville,2019-03-24 00:26:39,30.55,5.27611E+12
West Anthony,2019-01-23 12:32:46,23.24,5.96601E+11
West Anthony,2019-02-24 06:14:16,39.2,8.49141E+12
West Heidi,2019-03-30 10:46:05,22.41,1.71135E+12
Royland,2019-01-01 03:46:50,7.57,5.81538E+12
South Latoya,2019-03-02 06:06:17,10.35,3.38289E+11
Johnton,2019-01-08 17:33:26,43.75,1.95319E+11
West Angela,2019-01-30 18:46:42,32.31,7.28868E+12
Rodneyfort,2019-01-08 00:29:35,29.4,1.18425E+12
Royland,2019-01-02 20:08:57,10.19,6.68201E+11
New Paulville,2019-01-31 05:32:33,20.8,1.09284E+12
Huntermouth,2019-04-09 20:23:11,35.11,3.00561E+12
New Paulville,2019-01-30 15:21:53,7.02,8.50496E+12
Justinberg,2019-05-03 02:49:42,36.06,9.29542E+11
Port Angela,2019-03-31 15:22:26,30.77,6.62264E+11
Port Angela,2019-04-09 14:34:27,11.9,7.00981E+12
Christopherfurt,2019-01-05 22:21:59,33.51,1.90103E+12
South Michelleport,2019-04-22 03:15:33,43.62,4.66361E+12
Williamsstad,2019-02-13 20:07:49,33.72,3.79671E+12
Lake Jonathanshire,2019-04-07 18:09:21,24.28,7.79681E+12
Robertport,2019-03-20 19:11:26,20.21,9.63092E+12
Port Angela,2019-02-08 16:30:53,30.38,5.16554E+12
Barajasview,2019-02-08 18:07:22,24.49,2.61217E+12
South Evanton,2019-01-24 07:08:44,17.83,2.99666E+12
Lake Danielberg,2019-02-13 11:01:59,43.96,1.00024E+11
Royland,2019-04-19 00:05:32,25.4,9.84776E+12
Rodneyfort,2019-02-08 07:35:04,30.02,2.49702E+12
East Kaylahaven,2019-01-17 10:15:36,40.82,6.34249E+12
West Christopherberg,2019-01-17 14:30:56,9.04,5.15485E+12
New Jacobville,2019-01-15 15:27:56,27.24,3.81296E+12
Lake Jonathanshire,2019-01-02 14:14:50,13.89,4.24255E+11
Port Samanthamouth,2019-04-25 09:50:07,25.5,1.16913E+12
West Heidi,2019-03-26 09:45:05,22.33,8.26311E+11
Karenside,2019-04-14 05:11:17,13.13,3.65961E+12
Valentineton,2019-02-01 14:11:33,9.68,2.1321E+12
Raymondhaven,2019-02-23 11:13:25,4.24,2.94151E+11
Carriemouth,2019-03-11 21:35:00,16.78,1.51939E+12
West Josephberg,2019-01-16 16:17:05,7.04,2.50708E+12
Port Samanthamouth,2019-03-01 08:58:12,43.25,1.38918E+12
Karenberg,2019-03-30 11:38:39,24.64,4.53933E+12
New Paulton,2019-03-10 01:07:52,28,1.06716E+12
Joneschester,2019-02-07 18:36:22,6.34,2.60546E+12
North Jasmine,2019-02-08 19:03:17,4.86,1.27663E+12
Valentineton,2019-02-27 00:40:41,25.4,6.15236E+12
New Paulton,2019-02-20 16:59:35,24.29,7.73813E+12
South Evanton,2019-04-28 08:15:09,22.86,7.58536E+12
North Jasmine,2019-01-22 17:25:25,31.68,7.12302E+11
West Anthony,2019-03-17 00:30:34,35.42,4.56132E+12
Jerryton,2019-04-29 02:49:02,41.27,9.02958E+11
Grahamburgh,2019-01-09 07:00:08,13.55,5.4626E+12
South Jack,2019-03-30 20:21:59,4.2,4.81767E+12
West Christopherberg,2019-01-23 21:23:07,30.93,5.33568E+12
Lake Scottton,2019-03-26 00:49:34,9.79,1.8279E+12
West Patrickchester,2019-01-14 01:15:16,24.82,5.93494E+12
Royland,2019-01-17 14:08:06,27.92,3.14727E+12
South Karenland,2019-02-14 14:00:56,39.53,2.86164E+12
Erikaland,2019-03-27 13:11:14,36.52,2.19595E+12
Rodneyfort,2019-03-20 10:40:26,42.57,6.35495E+12
Williamsstad,2019-05-01 01:26:21,26.81,4.54295E+12
Richardfort,2019-02-13 12:46:07,14,9.1005E+11
West Ericstad,2019-01-25 12:29:55,20.03,3.27648E+12
Grahamburgh,2019-03-05 05:39:23,4.33,8.03729E+11
North Barbara,2019-05-04 02:33:59,24.09,9.27509E+12
West Robert,2019-01-04 06:10:40,35.35,9.55429E+12
Justinberg,2019-03-14 10:46:12,36.32,6.77169E+12
South Michelleport,2019-03-03 16:13:34,41.62,2.33978E+12
North Jasmine,2019-02-22 01:56:17,25.33,1.31997E+12
Barajasview,2019-03-01 11:06:21,28.25,7.22583E+12
Carriemouth,2019-04-04 13:22:44,12.91,4.27669E+12
Amandaburgh,2019-02-24 23:10:49,43.66,6.57382E+12
Johnton,2019-03-27 00:10:12,18.89,3.63407E+12
Port Angela,2019-03-04 03:26:39,40.35,4.93081E+12
Rodneyfort,2019-05-06 22:21:58,27.16,3.7655E+12
Amandaburgh,2019-02-10 20:42:46,36.17,6.45562E+12
North Madeline,2019-02-25 04:32:14,13.58,4.93284E+12
West Angela,2019-03-01 11:13:34,30.3,9.67353E+12
Joneschester,2019-01-03 05:45:12,25.47,5.54018E+12
Joneschester,2019-01-03 01:03:50,17.97,5.43931E+12
South Phillip,2019-01-29 11:26:47,35.23,7.41823E+12
Liumouth,2019-03-30 03:13:00,4.66,3.16444E+12
West Anthony,2019-01-10 02:31:33,32.34,1.47932E+12
North Jason,2019-02-26 11:57:44,13.88,2.49498E+12
North Jason,2019-03-21 09:45:04,10.42,6.60154E+12
Carriemouth,2019-04-28 14:28:36,11.46,6.99185E+12
Huntermouth,2019-05-04 15:20:09,36.77,7.18662E+12
South Phillip,2019-04-18 06:03:51,39.95,9.71902E+12
South Jack,2019-02-01 22:32:07,28.37,3.37201E+12
Port Johnbury,2019-05-05 06:26:50,25.3,2.54102E+12
South Phillip,2019-05-06 05:05:46,43.43,2.4352E+12
North Jasmine,2019-04-10 11:45:30,38.24,2.955E+12
South Michelleport,2019-01-27 19:38:12,15.45,7.46526E+12
North Madeline,2019-04-07 08:54:49,32.99,1.81935E+12
Christopherfurt,2019-02-24 02:56:43,40.33,9.58419E+12
Williamsstad,2019-02-23 17:42:40,4.68,9.10997E+12
Martinezhaven,2019-04-18 01:40:39,34.7,2.02309E+12
Simpsonburgh,2019-04-03 08:47:52,4.74,8.55633E+12
New Jacobville,2019-02-04 04:57:28,27.63,4.32915E+12
South Karenland,2019-02-12 03:42:21,5.78,8.89044E+12
Royland,2019-01-27 01:01:17,24.56,9.65671E+12
Karenside,2019-01-22 13:11:13,24.72,5.32673E+12
West Robert,2019-05-05 05:18:46,10.15,9.39218E+12
Port Samanthamouth,2019-04-27 08:48:36,12.84,5.65991E+12
West Samuelburgh,2019-03-07 01:51:26,14.55,7.16036E+12
New Kimberlyborough,2019-03-29 20:35:12,42.51,8.29694E+12
Port David,2019-03-27 11:56:08,15.64,5.33848E+12
Karenside,2019-03-18 12:48:08,36.96,7.60514E+12
New Paulton,2019-02-08 17:11:44,39.65,8.50596E+12
West Ericstad,2019-01-08 09:03:12,32.99,6.68834E+12
Port Johnbury,2019-03-21 02:20:43,32.8,5.45093E+12
Port Samanthamouth,2019-03-27 00:31:25,16.05,1.41228E+12
Port Frank,2019-01-08 23:51:25,42.13,2.09916E+12
Lake Jonathanshire,2019-04-06 11:30:32,16.84,6.16445E+12
West Angela,2019-02-05 18:53:14,36.37,7.83243E+12
Port Samanthamouth,2019-03-27 01:08:09,21.46,9.99154E+12
North Madeline,2019-03-04 17:20:57,21.38,9.54449E+12
Williamsview,2019-01-15 00:10:14,44.33,4.62703E+12
Grahamburgh,2019-02-21 06:55:34,22.65,8.16396E+11
South Evanton,2019-03-06 03:56:20,30.87,5.81192E+12
Loganberg,2019-03-27 13:32:59,4.72,6.12069E+12
Carriemouth,2019-02-21 16:38:59,44.18,4.52859E+12
Port David,2019-01-02 11:51:32,7.45,6.14835E+12
West Heidi,2019-01-30 12:59:43,30.84,8.93656E+12
Williamsstad,2019-03-05 02:33:54,25.02,1.31321E+12
North Barbara,2019-02-04 08:12:17,42.59,4.97125E+12
Lake Danielberg,2019-03-17 19:23:29,10.18,4.7144E+12
North Markport,2019-04-13 07:37:48,20.09,4.31121E+12
Port Angela,2019-05-02 04:14:34,35.76,7.94596E+12
Port Samanthamouth,2019-03-15 15:08:17,25.97,7.72596E+12
West Angela,2019-05-03 09:04:03,24.07,7.80819E+12
Leahton,2019-02-21 20:37:56,24.13,6.75967E+12
North Markport,2019-04-28 04:34:56,40.46,2.56789E+12
Karenside,2019-03-09 03:50:21,40.86,1.75754E+12
Jerryton,2019-01-07 12:05:30,7.86,7.0733E+11
South Michelleport,2019-04-14 01:20:33,37.93,1.53327E+12
Valentineton,2019-03-25 20:45:53,22.53,2.33505E+12
East Kaylahaven,2019-04-09 16:57:04,10.03,8.03681E+12
Erikaland,2019-04-13 12:26:02,25.22,4.84717E+12
West Christopherberg,2019-01-08 08:25:29,37.78,8.76706E+12
Pattyland,2019-02-01 22:43:37,32.03,2.85024E+12
Deanville,2019-02-08 23:33:35,21.22,4.78681E+12
West Christopherberg,2019-03-21 00:14:02,43.87,5.08548E+12
Justinberg,2019-03-23 06:28:19,30.58,3.5033E+12
Lake Danielberg,2019-02-24 19:34:24,34.82,2.44227E+12
Port Samanthamouth,2019-01-30 01:19:21,38.78,6.11983E+12
Lake Danielberg,2019-02-28 15:08:06,44.96,6.31959E+12
Deanville,2019-04-15 01:36:17,24.3,1.0653E+12
Pattyland,2019-02-15 15:13:00,44.03,1.55666E+12
Karenside,2019-01-27 08:52:04,7.65,4.7323E+11
Port Angela,2019-04-22 16:43:04,7.91,6.76731E+12
West Angela,2019-04-14 18:40:42,32.77,4.99573E+12
South Karenland,2019-03-26 06:12:20,35.5,1.48239E+12
New Jacobville,2019-02-18 21:09:27,39.97,8.0287E+12
Roberthaven,2019-03-14 16:12:38,36.84,4.12341E+12
Lake Scottton,2019-04-24 11:54:24,5.31,9.66834E+12
Amandaburgh,2019-01-11 02:22:07,29.24,7.2799E+12
Reynoldsfurt,2019-05-05 17:38:07,14.95,1.40473E+12
West Patrickchester,2019-02-09 05:54:52,16.1,9.11233E+12
Christopherfurt,2019-04-13 08:29:32,37.22,3.28805E+12
South Evanton,2019-04-27 00:58:54,27.78,9.37758E+12
Lake Scottton,2019-02-07 05:08:45,10.76,4.20125E+12
Roberthaven,2019-03-14 15:24:44,35.27,4.03456E+12
Rodneyfort,2019-03-04 15:13:08,28.69,2.75698E+11
West Josephberg,2019-02-17 06:28:32,41.49,2.82133E+12
Lake Jonathanshire,2019-03-21 00:18:34,37.95,8.35366E+12
Simpsonburgh,2019-02-05 16:02:12,25.58,2.0387E+12
West Heidi,2019-03-19 03:15:53,5.65,2.47479E+12
North Barbara,2019-03-23 20:59:03,23.76,5.55027E+12
North Jasmine,2019-03-11 21:03:21,37.93,4.22138E+12
West Gabriel,2019-04-29 01:22:02,36.7,4.1035E+12
Liumouth,2019-04-14 06:43:14,31.63,6.16629E+12
Carriemouth,2019-03-02 15:40:25,28.04,5.13854E+12
West Robert,2019-03-24 15:21:54,34.9,9.47233E+12
North Jasmine,2019-05-02 10:24:46,29.86,3.19899E+12
Carriemouth,2019-03-21 15:40:04,44.64,9.56084E+12
Lake Scottton,2019-02-15 06:49:06,22.75,8.38204E+12
North Madeline,2019-04-12 13:57:21,7.77,9.27334E+12
Lake Danielberg,2019-01-07 09:41:54,17.39,4.35554E+12
North Madeline,2019-04-30 16:02:17,37.48,2.50813E+12
Port David,2019-01-07 20:03:19,20.49,5.84626E+12
Royland,2019-02-11 03:46:39,30.41,7.2001E+12
West Samuelburgh,2019-02-20 01:05:29,19.65,6.62379E+12
West Angela,2019-03-18 12:08:51,34.05,5.33241E+12
West Patrickchester,2019-03-06 04:19:59,32.37,3.68467E+12
Port Frank,2019-02-05 10:34:09,20.1,4.44307E+12
New Kimberlyborough,2019-02-09 05:48:26,39.55,6.01005E+12
Justinberg,2019-04-20 07:37:19,29.07,2.09655E+11
West Angela,2019-04-18 12:07:32,16.18,5.7701E+12
Justinberg,2019-03-10 09:19:12,37.89,5.56313E+12
Valentineton,2019-01-10 17:29:33,19.91,7.74511E+11
Williamsview,2019-04-07 00:32:37,18.92,23948941587
South Jack,2019-01-31 02:51:29,21.75,6.97116E+12
Port Frank,2019-02-18 18:49:51,39.06,7.30185E+12
Leahton,2019-02-13 11:40:59,16.79,4.74479E+12
South Michelleport,2019-02-22 07:44:56,22.52,8.52274E+12
South Karenland,2019-04-25 14:44:55,24.86,1.30771E+12
Richardfort,2019-02-16 13:52:19,17.92,8.20639E+11
Williamsstad,2019-04-16 23:07:08,23.12,9.69458E+11
South Michelleport,2019-02-12 07:41:25,27.7,5.58288E+12
West Patrickchester,2019-04-13 19:49:03,33.33,1.83406E+12
Martinezhaven,2019-04-18 18:37:14,5.81,2.12425E+12
North Jason,2019-01-23 22:51:26,21.95,6.7018E+12
North Jason,2019-04-18 12:19:12,22.42,4.92779E+12
Lake Scottton,2019-05-03 22:33:04,9.01,1.28976E+12
West Christopherberg,2019-03-01 21:33:11,11.97,6.42255E+12
North Markport,2019-04-10 22:15:25,38.02,8.83453E+12
Christopherfurt,2019-04-09 00:32:07,29.96,9.82584E+12
North Madeline,2019-01-29 16:12:52,17.57,2.59646E+12
Richardfort,2019-02-01 20:18:28,10.26,9.55494E+12
South Phillip,2019-01-25 05:04:01,38.15,3.59916E+12
East Kaylahaven,2019-02-11 00:24:18,43.19,8.67104E+12
Rodneyfort,2019-04-11 02:57:58,36.3,9.04891E+12
Pattyland,2019-04-26 08:31:23,19.99,8.82778E+12
South Karenland,2019-03-24 23:37:10,41.44,6.04857E+11
Port David,2019-03-24 21:58:25,28.84,5.26678E+12
Rodneyfort,2019-03-10 05:23:50,29.13,4.63491E+12
New Paulton,2019-02-02 16:37:18,17.19,8.50043E+12
Williamsstad,2019-03-12 01:39:41,18.67,2.16183E+12
South Michelleport,2019-01-29 20:40:56,9.79,5.52906E+12
West Christopherberg,2019-03-21 02:57:41,21.41,7.7034E+12
Lake Scottton,2019-03-25 21:46:20,36.92,7.04364E+12
Port Angela,2019-03-19 12:32:49,17.21,1.69421E+12
Christopherfurt,2019-04-17 22:12:49,32.39,6.53652E+11
Joneschester,2019-02-27 08:19:34,33.34,2.38609E+12
Loganberg,2019-01-25 01:59:40,26.03,9.12375E+12
South Phillip,2019-02-19 13:19:38,33.07,8.51816E+12
Deanville,2019-01-23 13:00:34,42.45,7.28621E+12
New Kimberlyborough,2019-01-30 21:46:18,29.09,8.58712E+12
Port Johnbury,2019-04-11 10:26:44,9.1,7.80475E+12
West Patrickchester,2019-04-19 03:26:10,44.5,8.63832E+12
West Robert,2019-01-11 11:10:10,5.16,1.59259E+12
New Paulton,2019-03-28 03:35:48,14.94,3.70349E+12
South Latoya,2019-03-19 16:19:22,31.72,3.63818E+11
Robertport,2019-02-18 15:01:19,43.47,7.99569E+12
Valentineton,2019-01-19 19:40:33,6.71,9.05271E+12
South Latoya,2019-01-18 20:09:27,10.98,7.14419E+12
Simpsonburgh,2019-01-12 04:35:48,24.83,3.15166E+12
West Patrickchester,2019-02-12 16:33:18,22.64,4.55373E+12
Richardfort,2019-04-17 02:26:37,23,7.20021E+11
Hurleymouth,2019-02-20 10:47:47,17.07,7.0237E+12
Leahton,2019-01-27 08:09:59,29.36,2.92181E+12
West Anthony,2019-04-29 01:12:26,27.04,4.37535E+12
New Kimberlyborough,2019-01-05 09:33:59,39.47,2.81269E+12
South Latoya,2019-03-19 22:03:13,40.29,6.60213E+11
Williamsstad,2019-04-12 12:30:28,17.57,7.09968E+12
South Karenland,2019-02-01 19:45:09,31.64,9.37735E+12
North Jason,2019-04-16 15:23:51,24.07,9.72612E+12
West Angela,2019-01-27 09:35:35,9.24,2.62313E+12
Lake Danielberg,2019-02-08 05:58:51,10.31,2.46453E+12
Port Samanthamouth,2019-04-06 13:42:16,24.18,8.48462E+12
New Jacobville,2019-02-09 02:25:28,37.51,5.69207E+12
New Kimberlyborough,2019-03-10 13:55:17,10.83,1.55858E+12
New Kimberlyborough,2019-01-08 18:59:23,13.34,6.26984E+11
Karenberg,2019-03-05 01:38:53,44.1,9.22678E+12
South Phillip,2019-04-11 10:09:51,21.06,4.8321E+12
Loganberg,2019-01-20 01:34:06,38.66,7.23915E+12
Carriemouth,2019-05-01 04:53:47,10.97,8.79211E+12
West Patrickchester,2019-01-21 14:48:10,19.44,2.08837E+12
Martinezhaven,2019-02-07 21:45:45,4.31,9.33333E+12
Karenside,2019-01-08 08:49:26,22.64,2.41162E+12
North Jason,2019-03-24 07:40:47,32.72,7.96029E+12
Lake Danielberg,2019-03-28 09:56:51,28.53,9.80825E+12
Pattyland,2019-04-03 03:29:52,14.06,5.39901E+12
Pattyland,2019-02-21 17:53:52,7.06,5.80846E+12
Loganberg,2019-01-11 04:27:00,44.34,1.37654E+12
Leahton,2019-02-28 13:10:56,9.08,8.1975E+12
Reynoldsfurt,2019-01-17 21:35:17,24.84,5.00018E+12
Raymondhaven,2019-02-22 23:54:55,7.64,7.31172E+12
South Latoya,2019-02-12 22:59:02,5.54,8.3976E+11
Lake Scottton,2019-01-18 02:32:38,31.92,5.70629E+12
Port David,2019-02-24 22:20:33,35.63,3.35453E+12
Roberthaven,2019-04-05 14:01:28,31.09,1.01622E+12
Rogerston,2019-03-24 02:56:21,39.6,9.19619E+12
Karenberg,2019-04-27 14:57:38,44.73,3.80072E+12
Martinezhaven,2019-04-14 16:26:12,32.57,9.71302E+11
